merk,veld,besluit,reden,staat,bron
3M Nederland B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31715450411,+31715450450
3M Nederland B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 193,Industrieweg 24
3M Nederland B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,2300 AD,2382 NW
3M Nederland B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Leiden,Zoeterwoude
Bamboo Acoustics,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)36 5491919,+31653412762
Bamboo Acoustics,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Klapbrugweg 6,Laagraven 44
Bamboo Acoustics,postcode,wordt vervangen,bronsterkte 1 tegen 9,1332 AK,3439 LK
Bamboo Acoustics,city,wordt vervangen,bronsterkte 1 tegen 9,Almere,Nieuwegein
BambooXL,phone,wordt vervangen,bronsterkte 1 tegen 9,+31615370400,+31204932323
BambooXL,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Klapbrugweg 6,Kabelweg 50
BambooXL,postcode,wordt vervangen,bronsterkte 1 tegen 9,1332 AK,1014 BB
BambooXL,city,wordt vervangen,bronsterkte 1 tegen 9,Almere,Amsterdam
Barrisol Normalu sas,email,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,info@barrimore.nl,mail@barrisol.com
Barrisol Normalu sas,phone,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,+31850603332,+33389832020
Barrisol Normalu sas,address_line_1,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,Aambeeldstraat 10,Route du Sipes
Barrisol Normalu sas,postcode,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,1021,68680
Barrisol Normalu sas,city,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,KBAmsterdam,Kembs
Barrisol Normalu sas,country,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,NL,FR
Carpet Sign BV,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.csrugs.com,carpetsign.nl
Ceramiche Refin,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Via I Maggio n.22,"Via 1° Maggio n.22, Salvaterra"
Ceramiche Refin,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Casalgrande (RE),Casalgrande
Cityroofs,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Centaurusweg 19-25,"Centaurusweg 19-25, Postbus 61"
Cityroofs,postcode,wordt vervangen,bronsterkte 1 tegen 9,5015 TA,5000 AB
DecoLegno B.V.,address_line_1,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,Industrieweg 13A,Parklaan 35-37
DecoLegno B.V.,postcode,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,1521 NC,1544 AK
DecoLegno B.V.,city,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,Wormerveer,Zaandijk
Dekker Zevenhuizen B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.dekkerzevenhuizen.nl,dekkergreenpanel.nl
Desso BV,email,wordt vervangen,bronsterkte 1 tegen 9,service-nl@desso.com,info@desso.com
Desso BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31416684100,+31416684117
Desso BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Taxandriaweg 15,Postbus 169
Donkersloot,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 105,Nijverheidswerf 37
Donkersloot,postcode,wordt vervangen,bronsterkte 1 tegen 9,1400 AC,1402 BV
Eeuwenhout,email,wordt vervangen,bronsterkte 1 tegen 9,info@eeuwenhout.be,info@houtidee.be
Eeuwenhout,city,wordt vervangen,bronsterkte 1 tegen 9,Temse,Temse Velle
InterfaceFLOR,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industrielaan 15,Postbus 16
InterfaceFLOR,postcode,NIET vervangen,brondatum 2013-02-04 tegen 2024-03-06,3925 BD,3925 ZG
InterfaceFLOR,city,NIET vervangen,brondatum 2013-02-04 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel
Kaindl,email,wordt vervangen,bronsterkte 1 tegen 9,sales@kaindl.com,info@kaindl.com
Kaindl,phone,wordt vervangen,bronsterkte 1 tegen 9,+43 (0)66 285 880,+4366285883587
Kaindl,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Kaindlstraße 2,Kaindlstrasse 2
Kaindl,city,wordt vervangen,bronsterkte 1 tegen 9,Wals,"Wals, Salzburg"
Lei Import,address_line_1,vult leeg veld,,,Battenweg 12
Lei Import,postcode,vult leeg veld,,,6051 AD
Lei Import,city,vult leeg veld,,,Maasbracht
MBI,postcode,wordt vervangen,bronsterkte 1 tegen 9,8260 AJ,8263 AS
Merford Acoustic Materials,website,wordt vervangen,bronsterkte 1 tegen 9,merford.com,merford.nl
Merford Acoustic Materials,email,wordt vervangen,bronsterkte 1 tegen 9,info@merford.com,info@merford.nl
Merford Acoustic Materials,phone,wordt vervangen,bronsterkte 1 tegen 9,+31183675040,+31183675000
modulyss,phone,wordt vervangen,bronsterkte 1 tegen 9,+3252457211,+3252454858
Koninklijke Mosa bv,email,wordt vervangen,bronsterkte 1 tegen 9,servicedesk@mosa.nl,info@mosa.nl
Koninklijke Mosa bv,phone,wordt vervangen,bronsterkte 1 tegen 9,+31433689444,+31433689229
Koninklijke Mosa bv,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Meerssenerweg 358,"Meerssenerweg 358, P.O. Box 1026"
Koninklijke Mosa bv,postcode,wordt vervangen,bronsterkte 1 tegen 9,6224 AL,6201 BA
Partners in Design,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nikkelstraat 29,Nikkelstraat 28
Richard Wernekinck,website,NIET vervangen,brondatum 2013-02-04 tegen 2026-03-09,hollandfelt.nl,hollandfelt.com
Richard Wernekinck,email,NIET vervangen,brondatum 2013-02-04 tegen 2024-03-06,sales@hollandfelt.nl,info@wernekinck.com
Richard Wernekinck,postcode,wordt vervangen,bronsterkte 1 tegen 9,2613 TB,2613 VS
Relius Benelux,website,wordt vervangen,bronsterkte 1 tegen 9,relius.nl,systexx.nl
Relius Benelux,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Dieselweg 9,Postbus 51
Relius Benelux,postcode,wordt vervangen,bronsterkte 1 tegen 9,3752 LB,3750 GB
Trespa International B.V.,email,NIET vervangen,brondatum 2013-02-04 tegen 2024-03-06,info@trespa.com,info.nederland@trespa.com
Trespa International B.V.,phone,NIET vervangen,brondatum 2013-02-04 tegen 2024-03-06,+31495458358,+31495458850
Trespa International B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Wetering 20,P.O. Box 110
Trespa International B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,6002 SM,6000 AC
Twentinox,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 6,Petroleumhavenstraat 1-3
Twentinox,postcode,wordt vervangen,bronsterkte 1 tegen 9,7550 AA,7553 GS
Van Besouw Tapijt b.v.,phone,NIET vervangen,brondatum 2013-02-04 tegen 2024-03-06,+31383857373,+31383858818
Vescom Nederland B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,vescom.nl,vescom.com
Warmteplan B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 20,Mercuriusweg 5
Warmteplan B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,6970 AA,6971 GV
ZinCo Benelux,phone,wordt vervangen,bronsterkte 1 tegen 9,+31206674858,+31206674852
