material_id,material_slug,material_title,brand_id,brand_title,brand_status,public_url
4,superform-aluminium,Superform Aluminium,3063,Superform Aluminium,publish,https://materialdistrict.com/material/superform-aluminium/
9,lenz,Lenz,3263,Bernd van der Stouw,publish,https://materialdistrict.com/material/lenz/
11,thermochromic-colorcomp,Thermochromic Colorcomp,3287,SABIC,publish,https://materialdistrict.com/material/thermochromic-colorcomp/
13,yst-you-see-through,YST (You See Through),3261,Bau-line,publish,https://materialdistrict.com/material/yst-you-see-through/
24,art-ferro,Art Ferro,2808,Art Ferro,publish,https://materialdistrict.com/material/art-ferro/
40,printed-concrete,Printed concrete,2884,Grace Constr. Prod. NV,publish,https://materialdistrict.com/material/printed-concrete/
1221,mother-of-pearl-concrete-tiles,Mother of pearl concrete tiles,2884,Grace Constr. Prod. NV,publish,https://materialdistrict.com/material/mother-of-pearl-concrete-tiles/
1230,cempanit,Cempanit,3264,CEBIM BV,publish,https://materialdistrict.com/material/cempanit/
1301,stainless-steel-tile,Stainless steel tile,3253,Sistema Men S.r.l.,publish,https://materialdistrict.com/material/stainless-steel-tile/
1324,proud-plastics,Proud Plastics,3388,MAXSBD / Proud Plastics,publish,https://materialdistrict.com/material/proud-plastics/
1327,suwide-capricio,Suwide Capricio,3377,BN International BV,publish,https://materialdistrict.com/material/suwide-capricio/
1332,roxipan,Roxipan,2959,Roxipan,publish,https://materialdistrict.com/material/roxipan/
1416,lumistone,Lumistone,3516,Vistas Group International Inc.,publish,https://materialdistrict.com/material/lumistone/
1496,renewal,Renewal,3554,Fossil Faux Studios,draft,https://materialdistrict.com/material/renewal/
578,woven-wood-2,Woven wood,3592,Jim Salazar,publish,https://materialdistrict.com/material/woven-wood-2/
653,padded-wall-tile,Padded wall tile,3238,Zuiver,publish,https://materialdistrict.com/material/padded-wall-tile/
661,wire-cloth,Wire cloth,3622,Cloth Clinic,publish,https://materialdistrict.com/material/wire-cloth/
753,michelangelo-print,Michelangelo print,3082,Technology Communication Group,draft,https://materialdistrict.com/material/michelangelo-print/
1627,shetkastone,ShetkaSTONE,2994,ShetkaWorks L.L.C.,publish,https://materialdistrict.com/material/shetkastone/
1659,silpure,Silpure,138923,Microban Products Company,draft,https://materialdistrict.com/material/silpure/
1855,yst-noodles,YST Noodles,3261,Bau-line,publish,https://materialdistrict.com/material/yst-noodles/
1043,yst-white-clinic,YST White Clinic,3261,Bau-line,publish,https://materialdistrict.com/material/yst-white-clinic/
1887,emotex,Emotex,3258,EMOT Co. Ltd.,publish,https://materialdistrict.com/material/emotex/
1965,foam-railing,Foam Railing,3249,Dinex,publish,https://materialdistrict.com/material/foam-railing/
2071,timber-sil,Timber-Sil,3247,"ARK TEK, Ltd. ",publish,https://materialdistrict.com/material/timber-sil/
2180,glow-in-the-dark-coatings,Glow-in-the-dark coatings,3907,EnerGlo,publish,https://materialdistrict.com/material/glow-in-the-dark-coatings/
2243,thermafiber,Thermafiber,3104,Thermafiber Inc.,publish,https://materialdistrict.com/material/thermafiber/
2278,marlan,Marlan,138921,Marlan® Solid Surface,draft,https://materialdistrict.com/material/marlan/
2523,olfactive,OLFactive™,2842,MACtac Europe,publish,https://materialdistrict.com/material/olfactive/
2696,ncell-natural-fiber-reinforced-thermoplastics,NCell Natural Fibre reinforced Thermoplastics,4057,GreenCore Composites Inc.,draft,https://materialdistrict.com/material/ncell-natural-fiber-reinforced-thermoplastics/
2717,decorandum,Decorandum,4062,Alcoa GmbH,draft,https://materialdistrict.com/material/decorandum/
2734,elastolite,Elastolite,4066,Oryon Technologies,draft,https://materialdistrict.com/material/elastolite/
2765,onyx-solar-thin-film,Onyx Solar Thin Film,2853,Onyx Solar Energy S.L.,publish,https://materialdistrict.com/material/onyx-solar-thin-film/
2774,intelligent-sun-shading-glass,Intelligent sun shading glass,3248,"Nan Jing Rightvary Technology Co., Ltd ",publish,https://materialdistrict.com/material/intelligent-sun-shading-glass/
22871,pla851,Hydrospan,22945,Industrial Polymers Corporation,publish,https://materialdistrict.com/material/pla851/
22928,polyjet-digital-materials,Polyjet Digital Materials,22936,Stratasys,publish,https://materialdistrict.com/material/polyjet-digital-materials/
30403,liquifloor-2,Liquifloor,3351,Cafe Interiors,publish,https://materialdistrict.com/material/liquifloor-2/
33682,building-integrated-photovoltaics,Building-Integrated Photovoltaics,2853,Onyx Solar Energy S.L.,publish,https://materialdistrict.com/material/building-integrated-photovoltaics/
67060,ecolution-recycled-nylon-fabric,Ecolution recycled nylon fabric,66091,Jou Jou Fish,draft,https://materialdistrict.com/material/ecolution-recycled-nylon-fabric/
111678,woodstone,Woodstone,111677,Charilaos Mananedakis,publish,https://materialdistrict.com/material/woodstone/
120608,topia-tegel,TOPIA TEGEL,138919,OrbMatter Design Lab,draft,https://materialdistrict.com/material/topia-tegel/
134490,myco-colorsystem,MYCO colorsystem,134489,GROWinK,draft,https://materialdistrict.com/material/myco-colorsystem/
