brand_id,brand_title,brand_status,n_materials,material_slugs,cms_edit_url
4062,Alcoa GmbH,draft,1,decorandum,https://cms.materialdistrict.com/wp-admin/post.php?post=4062&action=edit
3247,"ARK TEK, Ltd. ",publish,1,timber-sil,https://cms.materialdistrict.com/wp-admin/post.php?post=3247&action=edit
2808,Art Ferro,publish,1,art-ferro,https://cms.materialdistrict.com/wp-admin/post.php?post=2808&action=edit
3261,Bau-line,publish,3,"yst-you-see-through, yst-noodles, yst-white-clinic",https://cms.materialdistrict.com/wp-admin/post.php?post=3261&action=edit
3263,Bernd van der Stouw,publish,1,lenz,https://cms.materialdistrict.com/wp-admin/post.php?post=3263&action=edit
3377,BN International BV,publish,1,suwide-capricio,https://cms.materialdistrict.com/wp-admin/post.php?post=3377&action=edit
3351,Cafe Interiors,publish,1,liquifloor-2,https://cms.materialdistrict.com/wp-admin/post.php?post=3351&action=edit
3264,CEBIM BV,publish,1,cempanit,https://cms.materialdistrict.com/wp-admin/post.php?post=3264&action=edit
111677,Charilaos Mananedakis,publish,1,woodstone,https://cms.materialdistrict.com/wp-admin/post.php?post=111677&action=edit
3622,Cloth Clinic,publish,1,wire-cloth,https://cms.materialdistrict.com/wp-admin/post.php?post=3622&action=edit
3249,Dinex,publish,1,foam-railing,https://cms.materialdistrict.com/wp-admin/post.php?post=3249&action=edit
3258,EMOT Co. Ltd.,publish,1,emotex,https://cms.materialdistrict.com/wp-admin/post.php?post=3258&action=edit
3907,EnerGlo,publish,1,glow-in-the-dark-coatings,https://cms.materialdistrict.com/wp-admin/post.php?post=3907&action=edit
3554,Fossil Faux Studios,draft,1,renewal,https://cms.materialdistrict.com/wp-admin/post.php?post=3554&action=edit
2884,Grace Constr. Prod. NV,publish,2,"printed-concrete, mother-of-pearl-concrete-tiles",https://cms.materialdistrict.com/wp-admin/post.php?post=2884&action=edit
4057,GreenCore Composites Inc.,draft,1,ncell-natural-fiber-reinforced-thermoplastics,https://cms.materialdistrict.com/wp-admin/post.php?post=4057&action=edit
134489,GROWinK,draft,1,myco-colorsystem,https://cms.materialdistrict.com/wp-admin/post.php?post=134489&action=edit
22945,Industrial Polymers Corporation,publish,1,pla851,https://cms.materialdistrict.com/wp-admin/post.php?post=22945&action=edit
3592,Jim Salazar,publish,1,woven-wood-2,https://cms.materialdistrict.com/wp-admin/post.php?post=3592&action=edit
66091,Jou Jou Fish,draft,1,ecolution-recycled-nylon-fabric,https://cms.materialdistrict.com/wp-admin/post.php?post=66091&action=edit
2842,MACtac Europe,publish,1,olfactive,https://cms.materialdistrict.com/wp-admin/post.php?post=2842&action=edit
138921,Marlan® Solid Surface,draft,1,marlan,https://cms.materialdistrict.com/wp-admin/post.php?post=138921&action=edit
3388,MAXSBD / Proud Plastics,publish,1,proud-plastics,https://cms.materialdistrict.com/wp-admin/post.php?post=3388&action=edit
138923,Microban Products Company,draft,1,silpure,https://cms.materialdistrict.com/wp-admin/post.php?post=138923&action=edit
3248,"Nan Jing Rightvary Technology Co., Ltd ",publish,1,intelligent-sun-shading-glass,https://cms.materialdistrict.com/wp-admin/post.php?post=3248&action=edit
2853,Onyx Solar Energy S.L.,publish,2,"onyx-solar-thin-film, building-integrated-photovoltaics",https://cms.materialdistrict.com/wp-admin/post.php?post=2853&action=edit
138919,OrbMatter Design Lab,draft,1,topia-tegel,https://cms.materialdistrict.com/wp-admin/post.php?post=138919&action=edit
4066,Oryon Technologies,draft,1,elastolite,https://cms.materialdistrict.com/wp-admin/post.php?post=4066&action=edit
2959,Roxipan,publish,1,roxipan,https://cms.materialdistrict.com/wp-admin/post.php?post=2959&action=edit
3287,SABIC,publish,1,thermochromic-colorcomp,https://cms.materialdistrict.com/wp-admin/post.php?post=3287&action=edit
2994,ShetkaWorks L.L.C.,publish,1,shetkastone,https://cms.materialdistrict.com/wp-admin/post.php?post=2994&action=edit
3253,Sistema Men S.r.l.,publish,1,stainless-steel-tile,https://cms.materialdistrict.com/wp-admin/post.php?post=3253&action=edit
22936,Stratasys,publish,1,polyjet-digital-materials,https://cms.materialdistrict.com/wp-admin/post.php?post=22936&action=edit
3063,Superform Aluminium,publish,1,superform-aluminium,https://cms.materialdistrict.com/wp-admin/post.php?post=3063&action=edit
3082,Technology Communication Group,draft,1,michelangelo-print,https://cms.materialdistrict.com/wp-admin/post.php?post=3082&action=edit
3104,Thermafiber Inc.,publish,1,thermafiber,https://cms.materialdistrict.com/wp-admin/post.php?post=3104&action=edit
3516,Vistas Group International Inc.,publish,1,lumistone,https://cms.materialdistrict.com/wp-admin/post.php?post=3516&action=edit
3238,Zuiver,publish,1,padded-wall-tile,https://cms.materialdistrict.com/wp-admin/post.php?post=3238&action=edit
